Model Type,Augmentation,Ensemble Size,Method,Accuracy,F1_Score
CNN,Yes,1,SoftVote_TTA_4,80.95714285714286,80.63236796861233
CNN,Yes,1,HardVoting,79.42857142857143,79.03593023755879
CNN,Yes,2,SoftVote_TTA_1,80.2,79.75697259301299
CNN,Yes,2,SoftVote_TTA_2,80.77142857142857,80.36049797154644
CNN,Yes,2,SoftVote_TTA_3,80.64285714285714,80.22375745952445
CNN,Yes,2,SoftVote_TTA_4,80.92857142857143,80.56522968226537
CNN,Yes,2,HardVoting,79.42857142857143,79.03593023755879
CNN,Yes,3,SoftVote_TTA_1,80.11428571428571,79.65216261485793
CNN,Yes,3,SoftVote_TTA_2,80.81428571428572,80.41010163670738
CNN,Yes,3,SoftVote_TTA_3,80.78571428571428,80.36595987569014
CNN,Yes,3,SoftVote_TTA_4,80.82857142857142,80.44649973996833
CNN,Yes,3,HardVoting,79.08571428571427,78.60780423564798
CNN,Yes,4,SoftVote_TTA_1,80.12857142857143,79.6703141175037
CNN,Yes,4,SoftVote_TTA_2,80.82857142857142,80.43091402063483
CNN,Yes,4,SoftVote_TTA_3,80.77142857142857,80.35403202186447
CNN,Yes,4,SoftVote_TTA_4,80.82857142857142,80.45279876734568
CNN,Yes,4,HardVoting,79.0,78.57704033315726
CNN,Yes,5,SoftVote_TTA_1,80.14285714285714,79.68476604025028
CNN,Yes,5,SoftVote_TTA_2,80.84285714285714,80.4441914832358
CNN,Yes,5,SoftVote_TTA_3,80.74285714285713,80.32091647570626
CNN,Yes,5,SoftVote_TTA_4,80.82857142857142,80.45114042060571
CNN,Yes,5,HardVoting,78.75714285714285,78.23989941616932
MLP,No,1,SoftVote_TTA_1,55.442857142857136,55.590266513695006
MLP,No,1,SoftVote_TTA_2,56.57142857142857,56.731659279672954
MLP,No,1,SoftVote_TTA_3,57.31428571428572,57.5185245027084
MLP,No,1,SoftVote_TTA_4,57.699999999999996,57.891919255687796
MLP,No,1,HardVoting,55.442857142857136,55.590266513695006
MLP,No,2,SoftVote_TTA_1,55.214285714285715,56.55546107211281
MLP,No,2,SoftVote_TTA_2,56.67142857142857,58.044511078833935
MLP,No,2,SoftVote_TTA_3,57.599999999999994,58.98829047599228
MLP,No,2,SoftVote_TTA_4,57.95714285714286,59.435345103861806
MLP,No,2,HardVoting,55.442857142857136,55.590266513695006
MLP,No,3,SoftVote_TTA_1,55.214285714285715,56.56469553167346
MLP,No,3,SoftVote_TTA_2,56.528571428571425,57.85921901997463
MLP,No,3,SoftVote_TTA_3,57.128571428571426,58.55343485588792
MLP,No,3,SoftVote_TTA_4,57.028571428571425,58.506603450908386
MLP,No,3,HardVoting,54.77142857142857,55.9893244528335
MLP,No,4,SoftVote_TTA_1,57.44285714285714,58.093007462771176
MLP,No,4,SoftVote_TTA_2,58.81428571428572,59.53130619420987
MLP,No,4,SoftVote_TTA_3,59.17142857142858,59.95623093396591
MLP,No,4,SoftVote_TTA_4,59.62857142857143,60.49530171290547
MLP,No,4,HardVoting,56.77142857142857,57.26142327914954
MLP,No,5,SoftVote_TTA_1,57.68571428571428,58.35950144983488
MLP,No,5,SoftVote_TTA_2,59.27142857142857,60.0185412969932
MLP,No,5,SoftVote_TTA_3,60.14285714285714,60.93724866977324
MLP,No,5,SoftVote_TTA_4,60.34285714285714,61.19361172806587
MLP,No,5,HardVoting,57.199999999999996,57.75038347166648
CNN,No,1,SoftVote_TTA_1,78.21428571428571,77.99693966448459
CNN,No,1,SoftVote_TTA_2,79.37142857142857,79.12636637093244
CNN,No,1,SoftVote_TTA_3,79.81428571428572,79.53916530343612
CNN,No,1,SoftVote_TTA_4,79.82857142857142,79.50365580468987
CNN,No,1,HardVoting,78.21428571428571,77.99693966448459
