Model Type,Augmentation,Model Index,Accuracy
MLP,No,1,45.25
MLP,No,2,44.8125
MLP,No,3,44.4375
MLP,No,4,44.8125
MLP,No,5,45.125
CNN,No,1,67.6875
CNN,No,2,69.1875
CNN,No,3,71.5625
CNN,No,4,71.1875
CNN,No,5,70.8125
MLP,Yes,1,51.375
MLP,Yes,2,50.0
MLP,Yes,3,50.3125
MLP,Yes,4,51.1875
MLP,Yes,5,51.3125
CNN,Yes,1,72.75
CNN,Yes,2,71.5
CNN,Yes,3,77.625
CNN,Yes,4,74.4375
CNN,Yes,5,76.1875
