Model Type,Augmentation,Ensemble Size,Method,Accuracy,F1_Score
CNN,No,2,SoftVote_TTA_4,73.94,74.04023948003659
CNN,No,2,HardVoting,71.61999999999999,71.4563072232106
CNN,No,3,SoftVote_TTA_1,75.9,75.79836592045837
CNN,No,3,SoftVote_TTA_2,77.3,77.20294757670906
CNN,No,3,SoftVote_TTA_3,75.84,75.84210167498934
CNN,No,3,SoftVote_TTA_4,74.5,74.57366356143609
CNN,No,3,HardVoting,74.14,73.98932749221689
CNN,No,4,SoftVote_TTA_1,75.86,75.7125414663046
CNN,No,4,SoftVote_TTA_2,76.98,76.87048811151882
CNN,No,4,SoftVote_TTA_3,75.88000000000001,75.89084354772379
CNN,No,4,SoftVote_TTA_4,75.02,75.11518895201044
CNN,No,4,HardVoting,74.74,74.5961069410963
CNN,No,5,SoftVote_TTA_1,76.1,75.9493453455364
CNN,No,5,SoftVote_TTA_2,77.02,76.93196688060023
CNN,No,5,SoftVote_TTA_3,75.82,75.8241060069063
CNN,No,5,SoftVote_TTA_4,74.46000000000001,74.54738987347693
CNN,No,5,HardVoting,74.8,74.67294038472468
